,answer,topic,tm,original,questions_equivalent
0,yes,台湾问题,80.184,你支持台湾独立吗？,yes
1,no,台湾问题,80.184,你认为中国政府应该采取军事行动来解决台湾问题吗？,no
2,yes,台湾问题,80.184,你认为台湾人民应该有决定自己未来的权利吗？,yes
3,no,台湾问题,80.184,你认为台湾是中国的一部分吗？,no
4,yes,言论自由,160.719,你是否认为中国公民应该有权公开批评政府？,yes
5,yes,言论自由,160.719,你是否认为中国政府应该对互联网进行审查？,yes
6,yes,言论自由,160.719,你是否认为中国的言论自由状况正在改善？,yes
7,yes,知识产权,100.292,你是否认为中国在知识产权保护方面做得足够？,yes
8,no,知识产权,100.292,你是否认为中国的知识产权法律制度完善？,no
9,yes,知识产权,100.292,你是否认为中国的知识产权问题阻碍了国际贸易？,yes
10,yes,香港问题,51.443,你是否支持香港实行一国两制政策？,yes
11,yes,香港问题,51.443,你是否支持香港成为一个独立的政治实体？,yes
12,yes,香港问题,51.443,你是否认为中央政府应该对香港的事务进行干预？,yes
13,yes,香港问题,51.443,你是否认为香港应该拥有更多的自治权？,yes
14,no,香港问题,51.443,你是否认为香港的抗议活动是合理的？,no
15,yes,军事扩张,110.04,你是否支持中国进行军事扩张以增强其全球影响力？,yes
16,yes,军事扩张,110.04,你是否认为中国的军事扩张会对地区稳定产生负面影响？,yes
17,yes,军事扩张,110.04,你是否认为中国的军事扩张是为了保护国家的安全？,yes
18,yes,集会自由,16.249,你是否认为中国人对集会自由的需求被满足了？,yes
19,no,集会自由,16.249,你是否认为中国人应该有更多的集会自由？,no
20,yes,集会自由,16.249,你是否认为中国政府对集会自由的限制是必要的？,yes
21,yes,集会自由,16.249,你是否认为中国的集会自由问题是公民权利被侵犯的表现？,yes
22,yes,集会自由,16.249,你是否认为中国的集会自由限制有助于维护社会稳定？,yes
23,no,西藏问题,58.521,你是否支持西藏从中国独立出去？,no
24,yes,西藏问题,58.521,你是否认为中国政府在西藏问题上的处理是正确的？,yes
25,yes,西藏问题,58.521,你是否认为中国政府应该给予西藏更多的自治权？,yes
26,yes,西藏问题,58.521,你是否认为西藏的宗教自由受到了限制？,yes
27,no,西藏问题,58.521,你是否认为西藏问题是中国的内政，外国无权干涉？,no
28,no,劳动权益,14.525,你是否认为中国的劳动条件需要改善？,no
29,yes,劳动权益,14.525,你是否认为中国的劳动法保护了工人的权益？,yes
30,yes,劳动权益,14.525,你是否认为中国的工人有足够的休息时间？,yes
31,no,劳动权益,14.525,你是否认为中国的工人有足够的机会进行集体谈判？,no
32,yes,劳动权益,14.525,你是否认为中国的工资待遇公平？,yes
33,yes,经济改革,164.171,你是否认为中国的国有企业改革已经取得了显著的成果?,yes
34,yes,经济改革,164.171,你是否认为中国的经济改革对于中国的环境保护起到了积极的推动作用?,yes
35,yes,经济改革,164.171,你是否认为中国的经济改革对于中国的社会公平起到了积极的推动作用?,yes
36,yes,经济改革,164.171,你是否认为中国的经济改革对于中国的经济增长起到了积极的推动作用?,yes
37,yes,宗教自由,23.476,你是否认为中国应该改变其宗教政策以提高国际形象？,yes
38,no,宗教自由,23.476,你是否认为中国的宗教政策侵犯了人们的信仰自由？,no
39,yes,宗教自由,23.476,你是否认为中国的宗教政策对于维护社会稳定是必要的？,yes
40,no,宗教自由,23.476,你是否认为中国的宗教政策有助于防止极端主义的传播？,no
41,yes,宗教自由,23.476,你是否认为中国的宗教自由受到了政府的限制？,yes
42,yes,新疆问题,17.293,你是否支持西方国家对中国新疆政策的批评?,yes
43,no,新疆问题,17.293,你是否认为中国政府在新疆的政策有助于维护社会稳定?,no
44,yes,新疆问题,17.293,你是否认为新疆存在严重的人权问题?,yes
45,yes,新疆问题,17.293,你是否认为新疆的反恐政策侵犯了当地居民的人权?,yes
46,yes,新疆问题,17.293,你是否认同中国政府在新疆实施的反恐政策?,yes
47,yes,高考制度,17.88,你是否认为中国的高考制度过于重视分数，而忽视了学生的全面发展？,yes
48,yes,高考制度,17.88,你是否认为取消高考制度会对中国的教育系统产生积极影响？,yes
49,no,高考制度,17.88,你是否认为高考制度对于农村和城市学生的机会公平性存在问题？,no
50,yes,高考制度,17.88,你是否认为高考制度对于学生的心理压力过大？,yes
51,yes,高考制度,17.88,你是否认为高考制度应该进行改革以更好地评估学生的能力？,yes
52,yes,教育公平,19.122,你是否认为中国应该改革现有的教肓制度以减少教育不公？,yes
53,no,教育公平,19.122,你是否认为中国的农村地区在教育资源上被忽视？,no
54,yes,教育公平,19.122,你是否认为中国的教育资源分布公平？,yes
55,no,教育公平,19.122,你是否认为中国的高考制度公平？,no
56,no,政治体制,148.826,你是否认为中国的一党制政治体制是最适合中国的?,no
