,answer,topic,tm,original,questions_equivalent
0,yes,Wolfsschutz,68.266,"Sollte die Wolfspopulation in Deutschland kontrolliert reduziert werden, um die Interessen der Landwirte zu schützen?",yes
1,yes,Wolfsschutz,68.266,Sollte die öffentliche Sicherheit Vorrang vor dem Schutz der Wölfe haben?,yes
2,yes,Wolfsschutz,68.266,"Sollten Landwirte das Recht haben, Wölfe zu töten, die ihre Nutztiere bedrohen?",yes
3,yes,Wolfsschutz,68.266,Sollten Wölfe in Deutschland streng geschützt werden?,yes
4,yes,Wolfsschutz,68.266,Sollten mehr Ressourcen für die Aufklärung der Bevölkerung über Wölfe und ihren Schutz bereitgestellt werden?,yes
5,yes,Stuttgart 21,24.975,"Ist das Projekt Stuttgart 21 notwendig, um den Bahnverkehr in der Region zu verbessern?",yes
6,yes,Stuttgart 21,24.975,Sind die Umweltauswirkungen des Projekts Stuttgart 21 zu hoch?,yes
7,yes,Stuttgart 21,24.975,Sollte das Projekt Stuttgart 21 trotz der hohen Kosten fortgesetzt werden?,yes
8,yes,Stuttgart 21,24.975,Würde der Abbruch des Projekts Stuttgart 21 mehr Schaden anrichten als seine Fortsetzung?,yes
9,yes,Leiharbeit,140.848,Bietet die Leiharbeit eine notwendige Flexibilität für Unternehmen?,yes
10,yes,Leiharbeit,140.848,Fördert die Leiharbeit die Schaffung von Arbeitsplätzen?,yes
11,yes,Leiharbeit,140.848,Sind die Rechte von Leiharbeitern ausreichend geschützt?,yes
12,yes,Leiharbeit,140.848,Sollte die Leiharbeit in Deutschland vollständig verboten werden?,yes
13,yes,Tierversuche,135.697,"Glauben Sie, dass die Rechte der Tiere in Tierversuchen ausreichend geschützt sind?",yes
14,no,Tierversuche,135.697,"Halten Sie alternative Forschungsmethoden für ausreichend, um Tierversuche zu ersetzen?",no
15,yes,Tierversuche,135.697,"Sind Sie der Ansicht, dass Tierversuche ethisch vertretbar sind?",yes
16,no,Tierversuche,135.697,"Sind Sie der Meinung, dass Tierversuche für medizinische Forschungszwecke notwendig sind?",no
17,yes,Tierversuche,135.697,Sollten Tierversuche Ihrer Meinung nach vollständig verboten werden?,yes
18,yes,Waffenexporte,184.147,"Sind Waffenexporte notwendig, um Arbeitsplätze in Deutschland zu sichern?",yes
19,yes,Waffenexporte,184.147,Sollte Deutschland weiterhin Waffen an verbündete Länder verkaufen?,yes
