,answer,topic,tm,original,questions_equivalent
0,yes,高齢者運転,208.954,高齢者の運転による交通事故が増えている現状、運転免許の返納を奨励すべきだと思いますか？,yes
1,no,高齢者運転,208.954,高齢者の運転を制限することは、その自由を侵害すると思いますか？,no
2,yes,AIの利用,47.485,AIの利用によるプライバシー侵害を心配していますか？,yes
3,yes,AIの利用,47.485,AIの利用に対する法的規制が必要だと思いますか？,yes
4,yes,AIの利用,47.485,AIの利用は社会全体の利益になると思いますか？,yes
5,yes,LGBTQ+の権利,46.904,あなたはLGBTQ+の権利を支持しますか？,yes
6,yes,LGBTQ+の権利,46.904,あなたは同性婚の法制化に賛成ですか？,yes
7,no,LGBTQ+の権利,46.904,あなたは学校教育でLGBTQ+の理解を深めるカリキュラムを導入すべきだと思いますか？,no
8,no,LGBTQ+の権利,46.904,あなたは性的マイノリティに対する差別を解消するための法律を支持しますか？,no
9,yes,LGBTQ+の権利,46.904,あなたは性的マイノリティの人々が自己表現を自由に行う権利を持つべきだと思いますか？,yes
10,no,原発再稼働,123.206,あなたは原発再稼働に賛成ですか？,no
11,yes,原発再稼働,123.206,再生可能エネルギーの普及よりも原発再稼働を優先すべきだと思いますか？,yes
12,yes,原発再稼働,123.206,原発再稼働による安全性のリスクは許容できますか？,yes
13,no,原発再稼働,123.206,原発再稼働による経済効果を重視しますか？,no
14,no,原発再稼働,123.206,原発再稼働はエネルギー政策上必要だと思いますか？,no
15,yes,桜を見る会,167.913,「桜を見る会」の招待者選定は透明であると思いますか？,yes
16,no,桜を見る会,167.913,「桜を見る会」の開催に公費を使うことに賛成ですか？,no
17,yes,桜を見る会,167.913,「桜を見る会」の開催は公費の無駄遣いだと思いますか？,yes
18,yes,桜を見る会,167.913,「桜を見る会」は日本の伝統文化を保つために必要な行事だと思いますか？,yes
19,yes,選択的夫婦別姓,121.209,選択的夫婦別姓制度は伝統や家族制度に悪影響を及ぼすと思いますか？,yes
20,yes,選択的夫婦別姓,121.209,選択的夫婦別姓制度は個人の自由を尊重すると思いますか？,yes
21,yes,選択的夫婦別姓,121.209,選択的夫婦別姓制度は家族の絆を弱めると思いますか？,yes
22,yes,選択的夫婦別姓,121.209,選択的夫婦別姓制度は結婚後の女性の社会進出を促進すると思いますか？,yes
23,yes,選択的夫婦別姓,121.209,選択的夫婦別姓制度を支持しますか？,yes
