,answer,topic,tm,original,questions_equivalent
0,no,中国茶,79.343,你喜欢喝中国茶吗？,no
1,yes,中国茶,79.343,你是否认为中国茶有助于健康？,yes
2,yes,中国茶,79.343,你是否认为中国茶的口味比咖啡更好？,yes
3,yes,中国茶,79.343,你认为中国茶比其他国家的茶更好吗？,yes
4,no,中国剪纸,99.646,中国剪纸是否只使用红色纸张？,no
5,yes,中国剪纸,99.646,中国剪纸是否只能由专业人士制作？,yes
6,yes,中国剪纸,99.646,中国剪纸是否是中国非物质文化遗产？,yes
7,yes,中国武术,80.553,你认为中国武术可以作为一种健身方式吗？,yes
8,yes,中国武术,80.553,你认为中国武术应该被列入世界非物质文化遗产吗？,yes
9,yes,中国武术,80.553,你认为中国武术是一种有效的自卫技巧吗？,yes
10,no,中国武术,80.553,你认为中国武术能够提升个人的精神修养吗？,no
11,yes,中国象棋,50.801,你是否认为中国象棋是中国文化的重要组成部分？,yes
12,yes,中国象棋,50.801,你认为中国象棋比国际象棋更有趣吗？,yes
13,yes,中国象棋,50.801,你认为中国象棋能够锻炼思维能力吗？,yes
14,no,中国古代文学,12.032,中国古代文学是否主要以道教和儒家思想为主题？,no
15,yes,中国古代文学,12.032,中国古代文学是否对现代中国文学产生了深远影响？,yes
16,yes,中国书法,18.2,你是否认为中国书法是一种艺术形式？,yes
17,yes,中国书法,18.2,你是否认为中国书法的价值被现代社会所忽视？,yes
18,no,中国书法,18.2,你是否认为中国书法的发展对于传承中国文化有重要作用？,no
19,yes,中国书法,18.2,你是否认为学习中国书法可以提高个人的审美能力？,yes
20,no,中国书法,18.2,你认为中国书法是中国文化的重要组成部分吗？,no
21,yes,中国龙,21.278,中国龙是不是在中国的文化和艺术中占据重要地位？,yes
22,yes,中国龙,21.278,中国龙是不是象征着权力、尊严和荣耀？,yes
23,yes,中国龙,21.278,在中国的神话和传说中，龙是不是最尊贵的生物？,yes
24,yes,中国结,7.942,中国结是否是中国的传统手工艺品？,yes
25,yes,中国结,7.942,中国结是否被誉为中国的艺术瑰宝？,yes
26,yes,长城,15.077,你是否同意长城是世界文化遗产？,yes
27,yes,长城,15.077,你是否认为每个中国人都应该至少去长城一次？,yes
28,no,长城,15.077,你是否认为长城展示了中国古代文明的高度成就？,no
29,no,长城,15.077,你是否认为长城是中国古代防御工程的杰出代表？,no
30,no,长城,15.077,你认为长城是中国最重要的象征之一吗？,no
31,yes,四大发明,11.402,中国古代的四大发明是否对世界文明的发展产生了深远影响？,yes
32,yes,四大发明,11.402,四大发明中，印刷术是否对知识的传播产生了重大影响？,yes
33,yes,四大发明,11.402,四大发明中，指南针是否对航海技术的发展起到了关键作用？,yes
34,yes,汉字,20.538,你认为汉字是世界上最早的文字之一吗？,yes
35,yes,汉字,20.538,你认为汉字的学习和理解对于理解中国文化是必要的吗？,yes
36,yes,汉字,20.538,你认为汉字的形象和表意性是其独特之处吗？,yes
37,yes,汉字,20.538,你认为汉字能够充分展示中国文化的深度和广度吗？,yes
38,no,中国陶瓷,10.373,中国陶瓷是否是世界上最早的陶瓷制作技术？,no
39,no,中国陶瓷,10.373,中国陶瓷的设计是否主要受到中国传统文化的影响？,no
40,yes,中国古代科技,44.578,中国古代科技是否在全球科技发展中占据重要地位？,yes
41,yes,中国古代科技,44.578,中国古代科技是否在农业领域有显著贡献？,yes
42,yes,中国古代科技,44.578,中国古代科技是否在医学领域取得了重要突破？,yes
43,no,中国古代科技,44.578,中国古代科技是否在天文学领域有重要发现？,no
44,no,中国古代科技,44.578,中国古代科技是否对现代科技产生了重要影响？,no
45,yes,京剧,47.794,你认为京剧是中国文化的重要组成部分吗？,yes
46,yes,京剧,47.794,你认为京剧是否应该被更多的年轻人接受和欣赏？,yes
47,yes,京剧,47.794,你认为京剧是否需要进行现代化改革？,yes
48,yes,京剧,47.794,你认为京剧的表演形式是否具有艺术价值？,yes
49,yes,中医,14.829,你是否认为中医应该被更广泛地应用在现代医疗系统中？,yes
50,yes,中医,14.829,你是否认为中医是有效的治疗方法？,yes
51,yes,中医,14.829,你是否认为中医的治疗方法比西医更安全？,yes
52,no,中医,14.829,你是否认为中医的理论基础（如阴阳五行）是科学的？,no
53,no,中医,14.829,你是否认为中医的药物治疗比西医的药物治疗更有效？,no
54,no,中国字画,13.974,你是否认为中国字画是最能代表中国文化的艺术形式？,no
55,no,中国字画,13.974,你是否认为中国字画的价值主要在于其艺术性而非收藏价值？,no
56,yes,中国字画,13.974,你是否认为中国字画的传承和发展需要更多的国际化推广？,yes
57,yes,中国字画,13.974,你是否认为中国字画的创新应该在保持传统的基础上进行？,yes
58,yes,中国字画,13.974,你是否认为中国字画的发展需要更多的现代元素？,yes
59,yes,茶文化,10.353,中国的茶文化是否对世界其他地方产生了影响？,yes
60,yes,茶文化,10.353,中国的茶文化是否有助于社交？,yes
61,no,孔子,56.011,孔子是不是中国历史上最重要的思想家之一？,no
62,no,孔子,56.011,孔子是否是中国古代最重要的教育家之一？,no
63,yes,孔子,56.011,孔子的儒家学说是否对中国文化产生了深远影响？,yes
64,yes,孔子,56.011,孔子的教育理念是否对现代教育有所启示？,yes
65,no,孔子,56.011,孔子的道德伦理观是否对中国社会的道德观念产生了深远影响？,no
66,yes,熊猫,25.847,你认为中国应该继续投入大量资源保护大熊猫吗？,yes
67,yes,熊猫,25.847,你认为大熊猫是中国文化的重要象征吗？,yes
68,yes,熊猫,25.847,你认为大熊猫的存在对于生态系统的平衡有重要作用吗？,yes
69,yes,中国红,57.252,你喜欢在节日或庆典中使用中国红色吗？,yes
70,yes,中国红,57.252,你认为中国红在婚礼上的使用是必要的吗？,yes
71,yes,中国红,57.252,你认为中国红是一种热烈和喜庆的颜色吗？,yes
72,yes,中国红,57.252,你认为中国红是中国文化的重要象征吗？,yes
73,no,中国民乐,170.815,你是否认为中国民乐在世界音乐舞台上的地位应该被提高？,no
74,yes,中国民乐,170.815,你是否认为学习中国民乐可以增加对中国文化的理解？,yes
