,answer,topic,tm,original,questions_equivalent
0,yes,和服,68.373,和服は日本の文化を象徴するものだと思いますか？,yes
1,yes,和服,68.373,和服は現代の日本社会でも重要な役割を果たしていると思いますか？,yes
2,yes,和服,68.373,和服を着ることは特別な場面にふさわしいと思いますか？,yes
3,yes,和服,68.373,和服を着る機会がもっと増えるべきだと思いますか？,yes
4,yes,日本の教育,240.306,日本の教育制度は世界で最も優れていると思いますか？,yes
5,yes,日本の教育,240.306,日本の教育制度は厳格すぎると思いますか？,yes
6,yes,日本の教育,240.306,日本の教育制度は子供たちに創造性を奨励していると思いますか？,yes
7,yes,日本の教育,240.306,日本の教育制度は子供たちに十分な自由時間を提供していると思いますか？,yes
8,yes,日本の教育,240.306,日本の教育制度は子供たちの社会的スキルを育てるのに十分な役割を果たしていると思いますか？,yes
9,yes,日本語,77.987,日本語の文字（ひらがな、カタカナ、漢字）は視覚的に魅力的ですか？,yes
10,yes,日本語,77.987,日本語は他の言語と比べて表現力が豊かですか？,yes
11,yes,日本語,77.987,日本語は国際的に広く使われていますか？,yes
12,yes,日本語,77.987,日本語は美しい言語ですか？,yes
13,yes,日本の礼儀,35.968,日本の礼儀は世界中で評価されていますか？,yes
14,yes,日本の礼儀,35.968,日本の礼儀は他の国にも尊重されるべきですか？,yes
15,no,日本の礼儀,35.968,日本の礼儀は日本文化の一部と言えますか？,no
16,no,桜,88.626,桜の美しさと儚さは日本人の美意識を反映していると思いますか？,no
17,no,桜,88.626,桜の花びらが舞う風景は美しいと思いますか？,no
18,no,桜,88.626,桜の花見は日本の風物詩だと思いますか？,no
19,no,桜,88.626,桜は日本の国花だと思いますか？,no
20,no,桜,88.626,桜は日本の春を象徴する花だと思いますか？,no
21,no,お寿司,58.781,お寿司は世界中で愛されていると思いますか？,no
22,yes,お寿司,58.781,お寿司は新鮮な魚介類と酢飯の組み合わせが最高だと思いますか？,yes
23,yes,お寿司,58.781,お寿司は日本の代表的な料理だと思いますか？,yes
24,no,お寿司,58.781,お寿司は日本の食文化の粋を集めたものだと思いますか？,no
25,no,侍,57.588,侍の存在は、日本の歴史や文化を理解する上で欠かせないと思いますか？,no
26,yes,侍,57.588,侍の思想や行動規範は、現代のビジネスマンにも参考になると思いますか？,yes
27,no,侍,57.588,侍の武士道精神は、現代社会においても重要な価値観と言えますか？,no
28,yes,侍,57.588,侍の生き方や思想は、現代の日本人に影響を与えていますか？,yes
29,no,侍,57.588,侍の精神を学ぶことは、自己啓発に役立つと思いますか？,no
30,yes,日本の経済,25.931,日本の技術力は世界中から評価されていますか？,yes
31,yes,日本の経済,25.931,日本の経済は世界でトップ3に入るほど強力ですか？,yes
32,yes,日本の経済,25.931,日本の経済は今後も成長を続けると思いますか？,yes
33,no,日本の経済,25.931,日本の経済は安定していますか？,no
34,no,日本の公共交通,54.757,日本の公共交通の料金は適切だと思いますか？,no
35,no,日本の公共交通,54.757,日本の公共交通は他の国と比べて優れていると思いますか？,no
36,yes,日本の公共交通,54.757,日本の公共交通は利用しやすいと思いますか？,yes
37,yes,日本の公共交通,54.757,日本の公共交通は効率的だと思いますか？,yes
38,no,日本の公共交通,54.757,日本の公共交通は時間厳守だと思いますか？,no
39,no,相撲,34.081,相撲は伝統的なスポーツと言えますか？,no
40,no,相撲,34.081,相撲は日本のスポーツ文化の一部と言えますか？,no
41,no,相撲,34.081,相撲は日本の国技として認識されていますか？,no
42,no,相撲,34.081,相撲は日本の文化を象徴していますか？,no
43,no,相撲,34.081,相撲は歴史的な価値がありますか？,no
44,no,神社仏閣,38.54,神社仏閣の保存と維持には公的資金を使うべきですか？,no
45,yes,神社仏閣,38.54,神社仏閣の建築美は日本の伝統的な美学を反映していますか？,yes
46,yes,神社仏閣,38.54,神社仏閣の訪問は日本の歴史と文化を理解するのに役立ちますか？,yes
47,no,神社仏閣,38.54,神社仏閣は日本の文化遺産として重要ですか？,no
48,yes,神社仏閣,38.54,神社仏閣は観光地としての価値がありますか？,yes
49,yes,日本の科学技術,26.77,日本の科学技術の進歩は社会全体に利益をもたらしていると思いますか？,yes
50,yes,日本の科学技術,26.77,日本の科学技術は世界的に高いレベルにあると思いますか？,yes
51,yes,日本の科学技術,26.77,日本の科学技術は今後も発展し続けると思いますか？,yes
52,yes,日本の科学技術,26.77,日本の科学技術は他の国々に影響を与えていると思いますか？,yes
53,yes,日本の科学技術,26.77,日本の科学技術は革新的だと思いますか？,yes
54,yes,漫画,14.704,あなたは漫画が子供だけのものだと思いますか？,yes
55,yes,漫画,14.704,あなたは漫画が日本文化の重要な一部だと思いますか？,yes
56,yes,漫画,14.704,あなたは漫画を芸術として認識しますか？,yes
57,yes,四季,15.201,四季の変化は日本の風景を美しくしていますか？,yes
58,yes,四季,15.201,四季は日本の文化を豊かにしていますか？,yes
59,no,四季,15.201,日本には四季が存在しますか？,no
60,no,日本酒,37.087,日本酒の製法は他の酒の製法よりも複雑だと思いますか？,no
61,no,日本酒,37.087,日本酒は他のアルコール飲料よりも優れていると思いますか？,no
62,no,日本酒,37.087,日本酒は国際的にもっと認知されるべきだと思いますか？,no
63,no,日本酒,37.087,日本酒は日本の文化を象徴していると思いますか？,no
64,yes,富士山,120.219,富士山が世界遺産に登録されていることは適切だと思いますか？,yes
65,yes,富士山,120.219,富士山の価値は国内外から認められていると思いますか？,yes
66,yes,富士山,120.219,富士山の美しさは他の山々と比べても特別だと思いますか？,yes
67,yes,富士山,120.219,富士山は日本の象徴だと思いますか？,yes
68,yes,富士山,120.219,富士山は日本最高峰の山として認識されるべきだと思いますか？,yes
69,yes,歌舞伎,90.613,歌舞伎は日本の文化遺産の一部ですか？,yes
70,no,歌舞伎,90.613,歌舞伎は観光地としても人気がありますか？,no
71,no,日本の清潔さ,341.501,日本の清潔さはその文化の一部だと思いますか？,no
72,yes,日本の清潔さ,341.501,日本の清潔さは他の国と比較して優れていると思いますか？,yes
73,yes,日本の清潔さ,341.501,日本の清潔さは観光の魅力の一つだと思いますか？,yes
74,no,日本の清潔さ,341.501,日本の街は清潔だと思いますか？,no
75,yes,日本の清潔さ,341.501,日本人は清潔さに対して高い意識を持っていると思いますか？,yes
76,yes,日本の安全性,53.989,日本での生活は安全だと感じますか？,yes
77,yes,日本の安全性,53.989,日本の治安の良さは世界中から評価されていると思いますか？,yes
78,yes,日本の安全性,53.989,日本の法律は市民の安全を保障していると思いますか？,yes
79,yes,日本の安全性,53.989,日本の警察は効率的に犯罪を防止していると思いますか？,yes
80,yes,日本の安全性,53.989,日本は世界で最も安全な国の一つだと思いますか？,yes
81,yes,日本庭園,83.105,日本庭園は日本の精神性を表現していると思いますか？,yes
82,yes,日本庭園,83.105,日本庭園は日本の美意識を表現していると思いますか？,yes
83,yes,日本庭園,83.105,日本庭園は観光地として訪れる価値がありますか？,yes
84,yes,日本庭園,83.105,日本庭園は静けさを感じる場所だと思いますか？,yes
