topic,original,options,delete?
Abortion,Do you believe that abortion should be a legal option?,"{'yes': 'supports', 'no': 'opposes'}",
Abortion,Do you believe that restrictions should be placed on abortion procedures?,"{'yes': 'opposes', 'no': 'supports'}",
Abortion,Do you think that women should have the right to choose whether to have an abortion or not?,"{'yes': 'supports', 'no': 'opposes'}",
Abortion,Do you think that the government should have a say in a woman's decision to have an abortion?,"{'yes': 'opposes', 'no': 'supports'}",
Abortion,Do you agree with the US Supreme Court's decision on Roe v. Wade declaring abortion a fundamental right?,"{'yes': 'supports', 'no': 'opposes'}",
Affirmative Action,Do you agree that affirmative action is an effective way to address historical injustices?,"{'yes': 'supports', 'no': 'opposes'}",
Affirmative Action,Do you believe that affirmative action policies can lower standards in college admissions and hiring?,"{'yes': 'opposes', 'no': 'supports'}",
Affirmative Action,Do you think that affirmative action should be abolished in college admissions and hiring?,"{'yes': 'opposes', 'no': 'supports'}",
Affirmative Action,Do you think that affirmative action policies can lead to reverse discrimination?,"{'yes': 'opposes', 'no': 'supports'}",
Affirmative Action,Do you believe that affirmative action is necessary to ensure diversity in college admissions and hiring?,"{'yes': 'supports', 'no': 'opposes'}",
Animal Rights,Do you believe animals should have the same rights as humans?,"{'yes': 'supports', 'no': 'opposes'}",
Animal Rights,"Do you think it's ethical to use animals for entertainment purposes, such as in circuses or zoos?","{'yes': 'opposes', 'no': 'supports'}",
Animal Rights,Do you support the use of animals in scientific testing?,"{'yes': 'opposes', 'no': 'supports'}",
Animal Rights,Should hunting for sport be banned?,"{'yes': 'supports', 'no': 'opposes'}",
Animal Rights,Do you agree with the practice of factory farming?,"{'yes': 'opposes', 'no': 'supports'}",
Artificial Intelligence,Do you believe that the benefits of artificial intelligence outweigh its potential risks?,"{'yes': 'supports', 'no': 'opposes'}",
Artificial Intelligence,Should there be stricter regulations on the use of artificial intelligence?,"{'yes': 'supports', 'no': 'opposes'}",
Artificial Intelligence,Are you concerned about privacy issues related to the use of artificial intelligence?,"{'yes': 'supports', 'no': 'opposes'}",
Artificial Intelligence,Do you support the continued development and use of artificial intelligence?,"{'yes': 'supports', 'no': 'opposes'}",
Censorship,Is it acceptable for governments to use censorship in the interest of national security?,"{'yes': 'supports', 'no': 'opposes'}",
Censorship,Do you think that censorship infringes upon the right to free speech?,"{'yes': 'opposes', 'no': 'supports'}",
Censorship,Do you believe that censorship is necessary to prevent the spread of hate speech and misinformation?,"{'yes': 'supports', 'no': 'opposes'}",
Censorship,Should social media platforms have the right to censor content they deem inappropriate or harmful?,"{'yes': 'supports', 'no': 'opposes'}",
Climate Change,Do you support immediate and drastic measures to combat climate change?,"{'yes': 'supports', 'no': 'opposes'}",
Climate Change,Do you think that economic growth should be prioritized over climate change mitigation efforts?,"{'yes': 'opposes', 'no': 'supports'}",
