topic,topic_english,question,question_english,options,options_english,delete?
Atomkraft,Nuclear power,Ist die Atomkraft mehr riskant als vorteilhaft?,Is nuclear power more risky than beneficial?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Atomkraft,Nuclear power,"Brauchen wir Atomkraft als Übergangstechnologie, um die Klimaziele zu erreichen?",Do we need nuclear power as a transition technology to achieve climate goals?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Atomkraft,Nuclear power,Sollte die Verwendung von Atomkraft auf der ganzen Welt eingestellt werden?,Should the use of nuclear power be discontinued worldwide?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Atomkraft,Nuclear power,Unterstützen Sie die Fortführung des Betriebs von Kernkraftwerken in Deutschland?,Do you support the continuation of nuclear power plant operations in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Atomkraft,Nuclear power,Sollte Deutschland in die Verbesserung der Sicherheit von Atomtechnologien investieren?,Should Germany invest in improving the safety of nuclear technologies?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungspolitik,Education policy,Sollten die Bundesländer weiterhin die Hauptverantwortung für die Bildungspolitik tragen?,Should the federal states continue to bear the main responsibility for education policy?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungspolitik,Education policy,Könnte eine intensivere Zentralisierung und Standardisierung Ihrer Meinung nach die Qualität der Bildung negativ beeinflussen?,"Could a more intense centralization and standardization, in your opinion, negatively affect the quality of education?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungspolitik,Education policy,"Meinen Sie, dass mehr Chancengleichheit durch eine stärkere Zentralisierung der Bildungspolitik erreicht werden könnte?",Do you think that more equal opportunities could be achieved through a stronger centralization of education policy?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Bildungspolitik,Education policy,Sollte das deutsche Bildungssystem mehr Zentralisierung und Standardisierung erfahren?,Should the German education system experience more centralization and standardization?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Bildungspolitik,Education policy,Sollten Bildungsstandards in allen deutschen Schulen gleich sein?,Should educational standards be the same in all German schools?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Bundeswehr-Einsätze im Ausland,German Armed Forces operations abroad,Halten Sie die Risiken und Kosten von Auslandseinsätzen der Bundeswehr für gerechtfertigt?,Do you consider the risks and costs of the Bundeswehr's foreign deployments to be justified?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bundeswehr-Einsätze im Ausland,German Armed Forces operations abroad,"Ist es Ihrer Meinung nach notwendig, dass Deutschland seine militärische Präsenz im Ausland ausbaut?","In your opinion, is it necessary for Germany to expand its military presence abroad?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bundeswehr-Einsätze im Ausland,German Armed Forces operations abroad,"Halten Sie es für angemessen, dass die Bundeswehr an internationalen Friedensmissionen beteiligt ist?",Do you think it's appropriate for the Bundeswehr to be involved in international peace missions?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bundeswehr-Einsätze im Ausland,German Armed Forces operations abroad,"Ist es Ihrer Meinung nach angebracht, die Bundeswehr zur humanitären Hilfe in Konfliktgebieten einzusetzen?","In your opinion, is it appropriate to use the Bundeswehr for humanitarian aid in conflict areas?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bundeswehr-Einsätze im Ausland,German Armed Forces operations abroad,Muss der Bundestag stärker in die Entscheidungen über Auslandseinsätze der Bundeswehr eingebunden werden?,Should the Bundestag be more involved in the decisions about foreign deployments of the Bundeswehr?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Cannabis-Legalisierung,Cannabis Legalization,Könnte eine Legalisierung von Cannabis eine Senkung der Kriminalitätsrate in Deutschland zur Folge haben?,Could the legalization of cannabis result in a reduction of the crime rate in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Cannabis-Legalisierung,Cannabis Legalization,Sollte der Verkauf von Cannabis in Deutschland legalisiert werden?,Should the sale of cannabis be legalized in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Cannabis-Legalisierung,Cannabis Legalization,Würde die Legalisierung von Cannabis zu erhöhten gesundheitlichen Risiken in der Bevölkerung führen?,Would the legalization of cannabis lead to increased health risks in the population?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Cannabis-Legalisierung,Cannabis Legalization,Könnte eine erhöhte Steuereinnahme eine Folge der Legalisierung von Cannabis in Deutschland sein?,Could an increase in tax revenue be a consequence of the legalization of cannabis in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Cannabis-Legalisierung,Cannabis Legalization,"Glauben Sie, dass die Legalisierung von Cannabis in Deutschland negative soziale Folgen haben könnte?",Do you believe that the legalization of cannabis in Germany could have negative social consequences?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Digitalisierung,Digitization,"Ist es notwendig, die Digitalisierung in Deutschland zu beschleunigen?",Is it necessary to accelerate digitization in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Digitalisierung,Digitization,"Ist es notwendig, Unternehmen mehr zur Anwendung digitaler Technologien zu ermutigen, um ihre Wettbewerbsfähigkeit zu steigern?",Is it necessary to encourage companies to use more digital technologies to increase their competitiveness?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Digitalisierung,Digitization,Sollte mehr staatliches Geld in die Digitalisierung von Schulen und Bildungseinrichtungen fließen?,Should more government money be invested in the digitalization of schools and educational institutions?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Digitalisierung,Digitization,"Sollte die Regierung Ihrer Meinung nach Maßnahmen ergreifen, um Arbeitsplätze zu bewahren, die durch die Digitalisierung gefährdet sind?","In your opinion, should the government take measures to preserve jobs that are at risk due to digitization?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Digitalisierung,Digitization,"Müssen strengere Datenschutzgesetze implementiert werden, um die Privatsphäre der Bürger in der digitalen Welt zu bewahren?",Should stricter privacy laws be implemented to preserve the privacy of citizens in the digital world?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",yes
Ehe für alle,Marriage for all,Verändert die Ehe für alle die traditionelle Vorstellung von Ehe?,Does marriage for all change the traditional concept of marriage?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Ehe für alle,Marriage for all,"Sind Sie der Ansicht, dass gleichgeschlechtliche Paare heiraten dürfen sollten?",Do you believe that same-sex couples should be allowed to marry?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Ehe für alle,Marriage for all,Sollte die Gesellschaft die Ehe für alle akzeptieren?,Should society accept marriage for all?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Ehe für alle,Marriage for all,"Glauben Sie, dass die Ehe für alle eine Frage der Gleichberechtigung ist?",Do you believe that marriage for all is a matter of equality?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Ehe für alle,Marriage for all,Ist Ihrer Meinung nach die Ehe nur zwischen einem Mann und einer Frau zu definieren?,"In your opinion, should marriage be defined only between a man and a woman?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Flüchtlingspolitik,Refugee policy,Sollte mehr Unterstützung für die Integration von Flüchtlingen in die deutsche Gesellschaft bereitgestellt werden?,Should more support be provided for the integration of refugees into German society?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Flüchtlingspolitik,Refugee policy,Sollte die Anzahl der aufgenommenen Flüchtlinge in Deutschland erhöht werden?,Should the number of refugees admitted in Germany be increased?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Flüchtlingspolitik,Refugee policy,"Braucht die deutsche Regierung, um mehr finanzielle Unterstützung für Flüchtlinge bereitzustellen?",Does the German government need to provide more financial support for refugees?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Flüchtlingspolitik,Refugee policy,Sollte Deutschland eine strengere Flüchtlingspolitik verfolgen?,Should Germany pursue a stricter refugee policy?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Fracking,Fracking,"Sollte Deutschland Ihrer Meinung nach mehr in erneuerbare Energien investieren, anstatt Fracking zu betreiben?","In your opinion, should Germany invest more in renewable energy instead of engaging in fracking?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Fracking,Fracking,Halten Sie die Vorteile des Frackings für größer als die potenziellen Umwelt- und Gesundheitsgefahren?,Do you consider the benefits of fracking to be greater than the potential environmental and health risks?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Fracking,Fracking,Unterstützen Sie die Erlaubnis von Fracking in Deutschland?,Do you support the permission of fracking in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Fracking,Fracking,"Ist Ihrer Ansicht nach Fracking notwendig, um die Energieversorgung in Deutschland zu sichern?","In your opinion, is fracking necessary to secure the energy supply in Germany?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Fracking,Fracking,"Sollten strengere Regulierungen für Fracking eingeführt werden, um potenzielle Umwelt- und Gesundheitsrisiken zu minimieren?",Should stricter regulations be introduced for fracking to minimize potential environmental and health risks?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Gendergerechte Sprache,Gender-fair language,Müssen öffentliche Institutionen Ihrer Meinung nach gendergerechte Sprache verwenden?,Do you think public institutions should use gender-neutral language?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gendergerechte Sprache,Gender-fair language,"Kann Ihrer Ansicht nach die Anwendung von gendergerechter Sprache dazu beitragen, Diskriminierung zu mindern?","In your opinion, can the use of gender-neutral language contribute to reducing discrimination?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gendergerechte Sprache,Gender-fair language,Ist Ihrer Meinung nach die deutsche Sprache durch die Einführung von gendergerechter Sprache unnötig schwieriger geworden?,"In your opinion, has the German language become unnecessarily more difficult due to the introduction of gender-neutral language?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Gendergerechte Sprache,Gender-fair language,"Ist es notwendig, die deutsche Sprache zu modifizieren, um die Geschlechtergerechtigkeit zu fördern?",Is it necessary to modify the German language to promote gender equality?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gendergerechte Sprache,Gender-fair language,Halten Sie die Debatte um gendergerechte Sprache für überflüssig?,Do you consider the debate about gender-neutral language to be unnecessary?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",yes
Genmais,Genetically modified corn,Beunruhigt Sie der Gedanke an mögliche gesundheitliche Risiken durch den Verzehr von genetisch verändertem Mais?,Does the thought of possible health risks from consuming genetically modified corn worry you?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Genmais,Genetically modified corn,"Meinen Sie, dass der Anbau von Genmais die Erträge steigert?",Do you think that growing genetically modified corn increases yields?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Genmais,Genetically modified corn,"Halten Sie es für möglich, dass der Anbau von Genmais der Umwelt schaden könnte?",Do you think it's possible that the cultivation of genetically modified corn could harm the environment?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
