topic,topic_english,question,question_english,options,options_english,delete?
AIの利用,Use of AI,AIの利用によるプライバシー侵害を心配していますか？,Are you worried about privacy violations due to the use of AI?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
AIの利用,Use of AI,AIの利用に対して法的な制約が必要だと思いますか？,Do you think there is a need for legal restrictions on the use of AI?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
AIの利用,Use of AI,AIの利用は社会全体の利益になると思いますか？,Do you think the use of AI will benefit society as a whole?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
LGBTQ+の権利,Rights of LGBTQ+,あなたは性的マイノリティの人々が自己表現の自由を持つべきだと感じますか？,Do you feel that sexual minorities should have the freedom of self-expression?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
LGBTQ+の権利,Rights of LGBTQ+,あなたは性的マイノリティの差別をなくすための法律を支持しますか？,Do you support laws to eliminate discrimination against sexual minorities?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
LGBTQ+の権利,Rights of LGBTQ+,LGBTQ+に対する理解を深めるための教育を学校で行うべきだと思いますか？,Do you think schools should provide education to deepen understanding about LGBTQ+?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
LGBTQ+の権利,Rights of LGBTQ+,LGBTQ+の権利に対して支持的な意見を持っていますか？,Do you have a supportive opinion on LGBTQ+ rights?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
LGBTQ+の権利,Rights of LGBTQ+,あなたは同性婚の法制化に賛成ですか？,Do you support the legalization of same-sex marriage?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
カジノ解禁,Casino legalization,カジノの開放についてどう思いますか？「はい」または「いいえ」,"What do you think about opening casinos? ""Yes"" or ""No""?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
カジノ解禁,Casino legalization,観光業はカジノの解禁によってプラスになると思いますか？「はい」または「いいえ」,"Do you think the tourism industry will benefit from the legalization of casinos? ""Yes"" or ""No"".","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
