topic,question,original
Abortion,Is it your opinion that abortion should be a legal choice?,Do you believe that abortion should be a legal option?
Abortion,Do you hold the belief that abortion should be permitted by law?,Do you believe that abortion should be a legal option?
Abortion,Do you believe that abortion should be a legal option?,Do you believe that abortion should be a legal option?
Abortion,Do you think abortion should be legally allowed?,Do you believe that abortion should be a legal option?
Abortion,Do you support the legality of abortion?,Do you believe that abortion should be a legal option?
Abortion,Is it your belief that abortion procedures should be regulated?,Do you believe that restrictions should be placed on abortion procedures?
Abortion,Do you agree with the notion of setting restrictions on abortion procedures?,Do you believe that restrictions should be placed on abortion procedures?
Abortion,Do you believe that restrictions should be placed on abortion procedures?,Do you believe that restrictions should be placed on abortion procedures?
Abortion,Do you think there should be limitations on abortion procedures?,Do you believe that restrictions should be placed on abortion procedures?
Abortion,Do you support the idea of imposing restrictions on abortion procedures?,Do you believe that restrictions should be placed on abortion procedures?
Abortion,Do you think that women should have the right to choose whether to have an abortion or not?,Do you think that women should have the right to choose whether to have an abortion or not?
Abortion,Is it your belief that women should be allowed to decide on having an abortion?,Do you think that women should have the right to choose whether to have an abortion or not?
Abortion,Do you support the idea that the choice of having an abortion should be a woman's right?,Do you think that women should have the right to choose whether to have an abortion or not?
Abortion,Do you agree that the decision to have an abortion should be a woman's choice?,Do you think that women should have the right to choose whether to have an abortion or not?
Abortion,Do you believe in a woman's right to decide on abortion?,Do you think that women should have the right to choose whether to have an abortion or not?
Abortion,Should the government be involved in a woman's choice to terminate her pregnancy?,Do you think that the government should have a say in a woman's decision to have an abortion?
Abortion,Should the government have a role in a woman's decision to get an abortion?,Do you think that the government should have a say in a woman's decision to have an abortion?
Abortion,Do you think that the government should have a say in a woman's decision to have an abortion?,Do you think that the government should have a say in a woman's decision to have an abortion?
Abortion,Do you believe the government should influence a woman's choice to have an abortion?,Do you think that the government should have a say in a woman's decision to have an abortion?
Abortion,Do you feel that the government should interfere in a woman's decision to abort?,Do you think that the government should have a say in a woman's decision to have an abortion?
Abortion,,Do you agree with the US Supreme Court's decision on Roe v. Wade declaring abortion a fundamental right?
Affirmative Action,Do you believe that affirmative action is a successful method to rectify past injustices?,Do you agree that affirmative action is an effective way to address historical injustices?
Affirmative Action,Do you agree that affirmative action is an effective way to address historical injustices?,Do you agree that affirmative action is an effective way to address historical injustices?
Affirmative Action,Do you concur that affirmative action is a potent tool for redressing historical wrongs?,Do you agree that affirmative action is an effective way to address historical injustices?
Affirmative Action,Would you say that affirmative action is an efficient means to tackle historical injustices?,Do you agree that affirmative action is an effective way to address historical injustices?
Affirmative Action,Do you think that affirmative action effectively addresses the injustices of the past?,Do you agree that affirmative action is an effective way to address historical injustices?
Affirmative Action,Do you believe that affirmative action policies can lower standards in college admissions and hiring?,Do you believe that affirmative action policies can lower standards in college admissions and hiring?
Affirmative Action,Do you perceive that affirmative action policies have the ability to lessen the standards in college admissions and employment?,Do you believe that affirmative action policies can lower standards in college admissions and hiring?
Affirmative Action,Do you consider that affirmative action policies could diminish the standards in college admissions and hiring processes?,Do you believe that affirmative action policies can lower standards in college admissions and hiring?
Affirmative Action,Do you think that affirmative action policies have the potential to decrease standards in college admissions and employment?,Do you believe that affirmative action policies can lower standards in college admissions and hiring?
Affirmative Action,Do you hold the view that affirmative action policies might reduce the standards in college admissions and job recruitment?,Do you believe that affirmative action policies can lower standards in college admissions and hiring?
Affirmative Action,Do you hold the view that affirmative action should be done away with in college admissions and job recruitment?,Do you think that affirmative action should be abolished in college admissions and hiring?
Affirmative Action,Do you think that affirmative action should be abolished in college admissions and hiring?,Do you think that affirmative action should be abolished in college admissions and hiring?
Affirmative Action,Is it your opinion that affirmative action should be removed from college admissions and hiring processes?,Do you think that affirmative action should be abolished in college admissions and hiring?
Affirmative Action,Do you agree with the idea of abolishing affirmative action in the context of college admissions and hiring?,Do you think that affirmative action should be abolished in college admissions and hiring?
Affirmative Action,Do you believe that affirmative action should be eliminated in college admissions and employment?,Do you think that affirmative action should be abolished in college admissions and hiring?
Affirmative Action,Do you hold the view that affirmative action policies might lead to reverse discrimination?,Do you think that affirmative action policies can lead to reverse discrimination?
Affirmative Action,Do you consider that affirmative action policies could potentially cause reverse discrimination?,Do you think that affirmative action policies can lead to reverse discrimination?
Affirmative Action,Do you think that affirmative action policies can lead to reverse discrimination?,Do you think that affirmative action policies can lead to reverse discrimination?
Affirmative Action,Do you believe that reverse discrimination can be a consequence of affirmative action policies?,Do you think that affirmative action policies can lead to reverse discrimination?
Affirmative Action,Is it your belief that affirmative action policies may result in reverse discrimination?,Do you think that affirmative action policies can lead to reverse discrimination?
Affirmative Action,Do you consider affirmative action to be crucial for preserving diversity in college admissions and hiring processes?,Do you believe that affirmative action is necessary to ensure diversity in college admissions and hiring?
Affirmative Action,Do you believe that affirmative action is necessary to ensure diversity in college admissions and hiring?,Do you believe that affirmative action is necessary to ensure diversity in college admissions and hiring?
Affirmative Action,Is it your belief that affirmative action is required to guarantee diversity in college admissions and job recruitment?,Do you believe that affirmative action is necessary to ensure diversity in college admissions and hiring?
Affirmative Action,Do you hold the view that affirmative action is indispensable for ensuring diversity in college admissions and hiring?,Do you believe that affirmative action is necessary to ensure diversity in college admissions and hiring?
Affirmative Action,Do you think that affirmative action is essential for maintaining diversity in college admissions and employment?,Do you believe that affirmative action is necessary to ensure diversity in college admissions and hiring?
Animal Rights,Do you think animals should be granted the same rights as humans?,Do you believe animals should have the same rights as humans?
Animal Rights,Do you agree with the idea that animals should have equal rights as humans?,Do you believe animals should have the same rights as humans?
