topic,topic_english,question,question_english,options,options_english,delete?
Autobahn,Highway,"Finden Sie, dass die Regierung mehr Geld für die Instandhaltung und Modernisierung der Autobahnen ausgeben sollte?",Do you think the government should spend more money on the maintenance and modernization of highways?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Autobahn,Highway,"Glauben Sie, dass die Autobahnen in Deutschland effizient sind?",Do you believe that the highways in Germany are efficient?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Autobahn,Highway,"Sind Sie dafür, dass auf allen Autobahnen eine Geschwindigkeitsbegrenzung eingeführt wird?",Are you in favor of introducing a speed limit on all highways?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
Autobahn,Highway,Braucht Deutschland mehr Autobahnen?,Does Germany need more highways?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Bauhaus,Bauhaus,Können die Bauhaus-Prinzipien Ihrer Ansicht nach in der heutigen Architektur angewendet werden?,"In your opinion, can the Bauhaus principles be applied in today's architecture?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bauhaus,Bauhaus,"Teilen Sie die Ansicht, dass das Bauhaus maßgeblich die moderne Architektur beeinflusst hat?",Do you share the view that the Bauhaus has significantly influenced modern architecture?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bauhaus,Bauhaus,Halten Sie das Bauhaus-Design noch für aktuell?,Do you still consider the Bauhaus design to be current?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bauhaus,Bauhaus,"Denken Sie, dass die Bauhaus-Kunstschule einen einzigartigen Stil hatte?",Do you think the Bauhaus art school had a unique style?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bauhaus,Bauhaus,"Sind Sie der Meinung, dass das Bauhaus die Designwelt radikal verändert hat?",Do you believe that the Bauhaus has radically changed the design world?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Berliner Bär,Berlin Bear,Empfinden Sie den Berliner Bär als zutreffendes Wappentier für die Stadt Berlin?,Do you find the Berlin Bear to be an appropriate emblem for the city of Berlin?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
