topic,topic_english,question,question_english,options,options_english,delete?
お寿司,Sushi,「お寿司は日本の食文化の象徴だと考えますか？」,"""Do you think sushi is a symbol of Japanese food culture?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
お寿司,Sushi,お寿司は世界中で評価されていると思いますか？,Do you think sushi is appreciated all over the world?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
お寿司,Sushi,新鮮な魚介類と酢飯の組み合わせが最高のお寿司だと信じますか？,Do you believe that the combination of fresh seafood and vinegared rice makes the best sushi?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
お寿司,Sushi,「お寿司は日本の特徴的な食事だと考えますか？」,"""Do you consider sushi as a characteristic meal of Japan?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
お寿司,Sushi,お寿司は美味しいと思いますか？,Do you think sushi is delicious?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
侍,Samurai,侍の精神を学ぶことは、自己啓発に役立つと思いますか？,Do you think learning the spirit of a samurai is useful for self-improvement?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
侍,Samurai,現代の日本人に対して、侍の生活様式や思想は影響を及ぼしていますか？,Does the lifestyle and philosophy of samurais influence modern Japanese people?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
侍,Samurai,侍の武士道精神は、現代社会で重要な価値観と見なされますか？,Is the samurai's bushido spirit considered an important value in modern society?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
侍,Samurai,侍の哲学や行動規範は、現代のビジネス界に役立つと思いますか？,Do you think the philosophy and code of conduct of the samurai can be useful in today's business world?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
侍,Samurai,侍の存在は、日本の歴史や文化の理解にとって重要だと考えますか？,Do you think the existence of samurais is important for understanding Japanese history and culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
和服,Kimono,和服は特別な場面に相応しいと考えますか？,Do you think kimonos are suitable for special occasions?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
和服,Kimono,あなたは和服を着る機会を増やすべきだと感じますか？,Do you feel that you should increase the opportunities to wear traditional Japanese clothes?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
和服,Kimono,和服が現代の日本社会において重要な位置を占めていると感じますか？,Do you feel that kimono holds an important position in modern Japanese society?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
和服,Kimono,「和服が日本の文化を象徴していると感じますか？」,"""Do you feel that kimono symbolizes Japanese culture?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
四季,Four seasons,日本の風景は四季の変化によって美しくなっていますか？,Does the scenery in Japan become beautiful due to the change of the four seasons?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
四季,Four seasons,四季の存在は日本の文化を豊かにする要素と言えますか？,Can we say that the existence of four seasons enriches Japanese culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
四季,Four seasons,日本に四季が存在すると言えますか？,Can you say that there are four seasons in Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
四季,Four seasons,四季の変化は日本の食事の文化にどのような影響を与えていますか？,How does the change of seasons affect the food culture in Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
四季,Four seasons,各季節にはそれぞれ特別な行事がありますか？,Are there special events for each season?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
富士山,Mount Fuji,「富士山を日本で最も高い山と見なすべきだと思いますか？」,"""Do you think Mount Fuji should be considered the highest mountain in Japan?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
富士山,Mount Fuji,富士山の世界遺産登録は適正だと思いますか？,Do you think Mount Fuji's World Heritage registration is appropriate?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
富士山,Mount Fuji,富士山の価値は国内外で認識されていると考えますか？,Do you think the value of Mount Fuji is recognized both domestically and internationally?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
富士山,Mount Fuji,他の山々と比べて富士山の美しさが特別だと考えますか？,Do you think the beauty of Mount Fuji is special compared to other mountains?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
富士山,Mount Fuji,「日本の象徴として富士山を見ることはできますか？」,"""Can you see Mount Fuji as a symbol of Japan?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の公共交通,Public transportation in Japan,日本の公共交通は時間通りに動くと思いますか？,Do you think public transportation in Japan operates on time?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の公共交通,Public transportation in Japan,日本の公共交通の運賃は適当だと思いますか？,Do you think the fares for public transportation in Japan are reasonable?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の公共交通,Public transportation in Japan,他の国と比較して、日本の公共交通の方が優れていると思いますか？,Do you think that Japan's public transportation is superior compared to other countries?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の公共交通,Public transportation in Japan,日本の公共交通機関の利用は容易だと思いますか？,Do you think it's easy to use public transportation in Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の公共交通,Public transportation in Japan,日本の公共交通は効率的だと感じますか？,Do you feel that public transportation in Japan is efficient?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の安全性,Safety in Japan,日本の治安の良さは世界的に評価されていると思いますか？,Do you think the safety of Japan is globally recognized?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の安全性,Safety in Japan,あなたは日本の警察が犯罪防止に効果的だと感じますか？,Do you feel that the police in Japan are effective in preventing crime?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の安全性,Safety in Japan,日本が世界で最も安全な国の一つだとあなたは認識していますか？,Do you recognize that Japan is one of the safest countries in the world?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の安全性,Safety in Japan,日本での生活は安全だと感じることができますか？,Can you feel safe living in Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の安全性,Safety in Japan,日本の法律が市民の安全を守っているとあなたは認識していますか？,Do you recognize that Japanese law is protecting the safety of its citizens?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の教育,Education in Japan,日本の教育は子供たちの創造性を刺激していると思いますか？,Do you think Japanese education stimulates the creativity of children?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の教育,Education in Japan,日本の教育制度は子供たちの社会的スキルを育てるのに十分な働きをしていると認識していますか？,Do you recognize that the Japanese education system is doing enough to develop children's social skills?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の教育,Education in Japan,日本の教育システムは過度に厳しいと感じますか？,Do you feel that the Japanese education system is overly strict?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
日本の教育,Education in Japan,日本の教育制度は子供たちに十分な自由時間を提供していると思いますか？,Do you think the Japanese education system provides enough free time for children?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の教育,Education in Japan,日本の教育体系は世界で最高だと思いますか？,Do you think Japan's education system is the best in the world?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の清潔さ,Cleanliness in Japan,他の国と比べて日本の清潔さは優れていると思われますか？,Do you think Japan's cleanliness is superior compared to other countries?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の清潔さ,Cleanliness in Japan,日本の街は清潔だと思いますか？,Do you think the streets of Japan are clean?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の清潔さ,Cleanliness in Japan,「日本人は清潔さに対する意識が高いと感じますか？」,"""Do you feel that Japanese people have a high awareness of cleanliness?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
