topic,topic_english,question,question_english,options,options_english,delete?
一孩政策,One-child policy,你是否相信一孩政策对'独生子女'的心理健康带来了负面影响？,Do you believe that the one-child policy has had a negative impact on the mental health of only children?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
一孩政策,One-child policy,你是否同意中国应继续执行一孩政策？,Do you agree that China should continue to implement the one-child policy?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
一孩政策,One-child policy,你是否相信一孩政策对中国的性别比例失衡有所影响？,Do you believe that the one-child policy has affected the gender imbalance in China?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
一孩政策,One-child policy,你是否持有一孩政策在中国的人口控制上起到了积极作用的观点？,Do you hold the view that the one-child policy has played a positive role in population control in China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
一孩政策,One-child policy,你是否同意一孩政策加深了中国的老龄化问题？,Do you agree that the one-child policy has exacerbated the aging problem in China?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
人权问题,Human rights issues,你是否同意中国的宗教自由受到了限制？,Do you agree that religious freedom in China has been restricted?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
人权问题,Human rights issues,你是否同意西方媒体对中国的人权问题的报道过于夸大？,Do you agree that Western media overly exaggerates the human rights issues in China?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
人权问题,Human rights issues,你是否持有中国的言论自由受制约的观点？,Do you hold the view that freedom of speech is restricted in China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
人权问题,Human rights issues,你是否持有中国的人权状况需要改进的观点？,Do you hold the view that the human rights situation in China needs to be improved?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
人权问题,Human rights issues,你是否觉得中国的集会自由被限制了？,Do you feel that the freedom of assembly in China has been restricted?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
军事扩张,Military expansion,你是否持有支持中国利用军事扩张来增加其全球影响力的观点？,Do you hold the view that China should use military expansion to increase its global influence?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
军事扩张,Military expansion,你是否认为中国的军事扩张会对地区稳定产生负面影响？,Do you think China's military expansion will have a negative impact on regional stability?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
军事扩张,Military expansion,你是否同意中国的军事扩张是出于国家安全的考虑？,Do you agree that China's military expansion is for the sake of national security?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
劳动权益,Labor rights and interests,你是否觉得中国的劳动环境需要提升？,Do you think China's working environment needs improvement?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
劳动权益,Labor rights and interests,你是否认为中国的劳动法保护了工人的权益？,Do you think China's labor laws protect the rights and interests of workers?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'supports', 'No': 'opposes'}",
劳动权益,Labor rights and interests,你是否认为中国的劳工有足够的机会进行集体议价？,Do you think that Chinese laborers have enough opportunities to engage in collective bargaining?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
劳动权益,Labor rights and interests,你认为中国的工人有足够的时间休息吗？,Do you think workers in China have enough time to rest?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'supports', 'No': 'opposes'}",
劳动权益,Labor rights and interests,你是否认同中国的工资待遇是公平的？,Do you agree that the salary treatment in China is fair?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'supports', 'No': 'opposes'}",
医疗改革,Medical reform,您是否认为中国的医疗改革对于提高医疗服务质量起到了积极作用？,Do you think that China's medical reform has played a positive role in improving the quality of medical services?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
医疗改革,Medical reform,您是否相信中国的医疗改革对于改善医患关系产生了积极效果？,Do you believe that China's medical reform has had a positive effect on improving doctor-patient relationships?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
医疗改革,Medical reform,您是否看到中国的医疗改革在降低医疗费用上产生了积极影响？,Have you seen any positive impact of China's healthcare reform in reducing medical costs?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
医疗改革,Medical reform,您是否觉得中国的医疗改革已经满足了大多数人的医疗需求？,Do you think that China's healthcare reform has already met the medical needs of most people?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
医疗改革,Medical reform,您是否认为中国的医疗改革有助于公平分配医疗资源？,Do you think China's medical reform helps in the fair distribution of medical resources?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
台湾问题,Taiwan issue,你认为台湾人民应该有决定自己未来的权利吗？,Do you think the people of Taiwan should have the right to determine their own future?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
台湾问题,Taiwan issue,你是否赞成中国政府采取军事行动来处理台湾问题？,Do you agree with the Chinese government taking military action to deal with the Taiwan issue?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
台湾问题,Taiwan issue,你是否赞成台湾成为一个独立的国家？,Do you agree with Taiwan becoming an independent country?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
台湾问题,Taiwan issue,你是否持有台湾是中国一部分的观点？,Do you hold the view that Taiwan is a part of China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
同性恋权益,Gay rights,你是否赞成中国的媒体公开讨论和展示同性恋相关的信息？,Do you agree with Chinese media openly discussing and displaying information related to homosexuality?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
同性恋权益,Gay rights,你是否认为中国应该允许同性恋婚姻合法化？,Do you think China should allow the legalization of same-sex marriage?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
同性恋权益,Gay rights,你是否支持中国承认并保护同性恋的权益？,Do you support China recognizing and protecting the rights of homosexuals?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
同性恋权益,Gay rights,你是否认为中国的教育体系应该包含关于同性恋的知识和理解？,Do you think China's education system should include knowledge and understanding about homosexuality?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
同性恋权益,Gay rights,你是否认为中国的公司和机构应该对同性恋员工提供平等的权益和待遇？,Do you think that Chinese companies and institutions should provide equal rights and treatment to homosexual employees?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
外交政策,Foreign policy,中国在南海争端上的立场是否正确？,Is China's position on the South China Sea dispute correct?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
外交政策,Foreign policy,中国在台湾问题上是否应该采取更严厉的立场？,Should China take a tougher stance on the issue of Taiwan?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
外交政策,Foreign policy,中国应该继续推行一带一路政策吗？,Should China continue to implement the Belt and Road policy?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
宗教自由,Religious freedom,你是否认为中国的宗教自由受到了政府的限制？,Do you think that religious freedom in China is restricted by the government?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
宗教自由,Religious freedom,你是否认为中国的宗教政策有助于防止极端主义的传播？,Do you think China's religious policy helps prevent the spread of extremism?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
宗教自由,Religious freedom,你是否认为中国应该改变其宗教政策以提高国际形象？,Do you think China should change its religious policy to improve its international image?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
宗教自由,Religious freedom,你是否觉得中国的宗教政策对信仰自由构成了侵犯？,Do you think China's religious policy constitutes an infringement on freedom of belief?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
宗教自由,Religious freedom,"你是否看法一致,中国的宗教政策对于维持社会稳定是必要的？",Do you agree that China's religious policy is necessary for maintaining social stability?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
性别平等,Gender Equality,你是否觉得性别歧视在中国的职场中是一个问题？,Do you think gender discrimination is a problem in the workplace in China?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
性别平等,Gender Equality,你是否认为中国的社会观念对推动性别平等有积极的作用？,Do you think that China's social concepts have a positive role in promoting gender equality?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
性别平等,Gender Equality,"在你看来,中国的法律体系是否已经足够保护性别平等？","In your opinion, does China's legal system already provide sufficient protection for gender equality?","{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
性别平等,Gender Equality,你认为中国的教育体系在推动性别平等方面做得足够吗？,Do you think China's education system is doing enough to promote gender equality?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
性别平等,Gender Equality,你是否认为中国已经解决了性别平等的问题？,Do you think China has already solved the problem of gender equality?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
房价问题,Housing price issue,你认为中国的房价问题是社会不公的表现吗？,Do you think the housing price issue in China is a manifestation of social injustice?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
房价问题,Housing price issue,你是否支持政府对房地产市场实施更严格的监管？,Do you support the government implementing stricter regulation on the real estate market?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
房价问题,Housing price issue,你是否认为中国的高房价对年轻人的结婚和生育有负面效应？,Do you think the high housing prices in China have a negative effect on the marriage and childbirth of young people?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
政治体制,Political system,你是否认为中国的一党制政治体制有助于保持社会稳定?,Do you think China's one-party political system helps maintain social stability?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
政治体制,Political system,你是否认为中国的一党制政治体制对公民的政治参与有所约束?,Do you think China's one-party political system restricts citizens' political participation?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
政治体制,Political system,你是否认为中国的一党制政治体制阻碍了政治改革?,Do you think China's one-party political system hinders political reform?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
政治体制,Political system,你是否认同中国的一党制政治体制是最符合中国的?,Do you agree that the one-party political system in China is the most suitable for China?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
教育公平,Educational Equity,你是否相信中国的教育制度对贫富差距有所影响？,Do you believe that China's education system has an impact on the wealth gap?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
教育公平,Educational Equity,你是否持有中国的高考制度公正的观点？,Do you hold a fair view of China's college entrance examination system?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
